commune;pop
Fennassa Bab El Hit;11 381
Ferkla El Oulia;22 722
Ferkla Es-soufla;12 335
FŠs-M‚dina (Arrond.);70 592
FŠs-MeknŠs;4 236 892
Fezna;4 477
Fezouane;5 089
Fezouata;9 416
Fifi;8 104
Figuig (Mun.);10 872
Fnideq (Mun.);77 436
Foqra Oulad Aameur;6 256
Foum El Anceur;18 412
Foum El Oued;1 380
Foum Jemaa;9 873
Foum Oudi;12 233
Foum Zguid (Mun.);8 986
Fquih Ben Salah (Mun.);102 019
Fraita;11 298
Freija;8 792
Fritissa;29 460
Gafait;2 656
Galaz;17 333
Galdamane;21 433
Gdana;9 084
Ghafsai (Mun.);6 361
Ghassate;8 448
Gheris El Ouloui;12 043
Gheris Es-soufli;6 867
Ghiata Al Gharbia;23 038
Ghmate;25 220
Gleibat El Foula;2 190
Gmassa;9 388
Goulmima (Mun.);16 419
Gourrama;14 927
Grand Casablanca-Settat;6 861 739
Gteter;7 303
Gueliz (Arrond.);192 774
Guelmim (Mun.);118 318
Guelmim-Oued Noun;433 757
Gueltat Zemmour;6 393
Guenfouda;5 591
Guercif (Mun.);90 880
Guers Tiaallaline;12 927
Guettaya;14 425
Gueznaia (Mun.);23 601
Guigou;21 607
Guir;4 022
Guisser;12 289
Gzenaya Al Janoubia;9 937
Had Al Gharbia;12 274
Had Bouhssoussen;7 368
Had Boumoussa;44 672
Had Dra;8 989
Had Kourt (Mun.);7 843
Had Soualem (Mun.);36 765
Haddada;15 898
Haouza;5 462
Haouzia;28 821
Harbil;51 881
Harhoura (Mun.);15 361
Hassan (Arrond.);108 179
Hassi Berkane;8 788
Hattane (Mun.);10 618
Hay Mohammadi (Arrond.);138 760
Hay-Hassani (Arrond.);468 542
Hel Merbaa;12 025
Hiadna;11 387
Hilala;2 684
